date,time,latitude,longitude,elevation,heart_rate,cadence
2018-6-6,15:4:12,50.91281435452401638031005859375,4.70546021126210689544677734375,36.799999237060546875,109,0
2018-6-6,15:4:17,50.9128742851316928863525390625,4.70544445328414440155029296875,36.40000152587890625,109,0
2018-6-6,15:4:19,50.91289683245122432708740234375,4.7054301202297210693359375,36.59999847412109375,109,0
2018-6-6,15:4:21,50.91292239725589752197265625,4.7054302878677845001220703125,36.40000152587890625,109,46
2018-6-6,15:4:23,50.9129393287003040313720703125,4.70542986877262592315673828125,36.40000152587890625,110,45
2018-6-6,15:4:28,50.9129061363637447357177734375,4.70540924929082393646240234375,36.200000762939453125,109,46
2018-6-6,15:4:32,50.91286364011466503143310546875,4.70542182214558124542236328125,36,112,48
2018-6-6,15:4:36,50.91280614025890827178955078125,4.705427773296833038330078125,36.200000762939453125,113,49
2018-6-6,15:4:40,50.9127193875610828399658203125,4.70544286072254180908203125,36.40000152587890625,116,78
2018-6-6,15:4:43,50.9126177988946437835693359375,4.705460965633392333984375,35.799999237060546875,119,77
2018-6-6,15:4:45,50.912547223269939422607421875,4.70550295896828174591064453125,35.799999237060546875,122,77
2018-6-6,15:4:48,50.912439264357089996337890625,4.7055506519973278045654296875,36.200000762939453125,125,77
2018-6-6,15:4:49,50.91240473091602325439453125,4.7055647335946559906005859375,36,128,77
2018-6-6,15:4:52,50.91228746809065341949462890625,4.70561318099498748779296875,36,131,77
2018-6-6,15:4:54,50.9122069180011749267578125,4.705642350018024444580078125,36,134,77
2018-6-6,15:4:57,50.91208948753774166107177734375,4.70569138415157794952392578125,36.200000762939453125,137,77
2018-6-6,15:5:0,50.91197750531136989593505859375,4.7057303600013256072998046875,36.40000152587890625,140,77
2018-6-6,15:5:4,50.9118181653320789337158203125,4.705766402184963226318359375,36.200000762939453125,144,77
2018-6-6,15:5:8,50.91166502796113491058349609375,4.7058061324059963226318359375,36.200000762939453125,147,77
2018-6-6,15:5:13,50.91147006489336490631103515625,4.705831445753574371337890625,36.40000152587890625,148,76
2018-6-6,15:5:18,50.9112867526710033416748046875,4.70587494783103466033935546875,36.40000152587890625,146,75
2018-6-6,15:5:23,50.9111072123050689697265625,4.705908559262752532958984375,36.200000762939453125,149,76
2018-6-6,15:5:26,50.911001265048980712890625,4.70592699944972991943359375,36,152,76
2018-6-6,15:5:30,50.91085885651409626007080078125,4.7059571743011474609375,35.799999237060546875,155,76
2018-6-6,15:5:36,50.91065936721861362457275390625,4.7060029394924640655517578125,35.799999237060546875,158,75
2018-6-6,15:5:39,50.9105608798563480377197265625,4.70602582208812236785888671875,36,161,75
2018-6-6,15:5:46,50.9103536792099475860595703125,4.70605968497693538665771484375,36,162,75
2018-6-6,15:5:52,50.910167433321475982666015625,4.706099331378936767578125,35.799999237060546875,163,76
2018-6-6,15:5:58,50.90997037477791309356689453125,4.70615792088210582733154296875,35.799999237060546875,164,75
2018-6-6,15:6:4,50.90976543724536895751953125,4.7062104754149913787841796875,35.799999237060546875,165,76
2018-6-6,15:6:10,50.9095731563866138458251953125,4.70626470632851123809814453125,35.799999237060546875,165,75
2018-6-6,15:6:16,50.9093595854938030242919921875,4.70633427612483501434326171875,36,166,74
2018-6-6,15:6:22,50.90915129519999027252197265625,4.70638507045805454254150390625,36.200000762939453125,166,75
2018-6-6,15:6:28,50.90894660912454128265380859375,4.70642530359327793121337890625,35.799999237060546875,166,75
